pH,Formaldehyde concentration (mg/L),Year
6.061,0,1986
6.143,0,1955
6.305,0,1979
6.332,0,1980
6.371,0,1975
6.383,0,1991
6.433,0,1964
6.493,0,1973
6.536,0,1984
6.554,0,1981
6.56,0,1976
6.564,0,1973
6.566,0,1993
6.571,0,1987
6.683,0,1978
6.683,0,1936
6.702,0,1973
6.715,0,1961
6.732,0,1976
6.739,0,1985
6.753,0,1992
6.773,0,2006
6.779,0,1973
6.804,0,2000
6.809,0,1972
6.814,0,1971
6.831,0,1986
6.888,0,1966
6.897,0,-
6.901,0,2015
6.921,0,1991
6.925,0,1978
6.96,0,1971
7.002,0,2005
7.018,0,2000
7.019,0,1963
7.022,0,1994
7.056,0,1972
7.076,0,2008
7.099,0,1973
7.149,0,"1,974"
7.164,0,1975
7.168,0,1979
7.175,0,1963
7.184,0,1996
7.184,0,1998
7.195,0,1965
7.237,0,2008
7.242,0,1976
7.251,0,2009
7.284,0,1967
7.287,0,1965
7.294,0,1993
7.295,0,2017
7.302,0,1977
7.305,0,2000
7.308,0,1971
7.309,0,1970
7.314,0,1998
7.365,0,1969
7.407,0,1996
7.438,0,-
7.464,0,1980
7.471,0,1964
7.55,0,-
7.578,0,1994
7.613,0,1977
7.648,0,1969
7.677,0,1971
7.709,0,1995
7.729,0,1963
7.733,0,1967
7.735,0,1971
7.808,0,2014
7.863,0,2013
7.92,0,1972
7.969,0,1970
8.186,0,1972
8.203,0,1977
8.424,0,1961
6.475,53,1996
7.004,75,2017
6.52,175,1976
6.829,175,2017
6.641,200,1991
6.789,200,1961
6.816,200,2017
6.839,200,1988
6.937,200,2017
6.363,250,1973
6.439,250,1986
6.843,250,2000
6.871,250,2017
6.237,325,1971
6.028,400,1985
6.69,400,2017
6.06,450,1990
6.28,450,1968
6.908,500,2017
6.516,550,1971
6.612,550,2001
6.673,550,1997
6.756,550,1967
6.962,550,2017
5.947,600,1971
6.378,650,1968
6.466,700,2010
6.299,775,1976
6.365,775,-
6.399,775,1978
6.435,775,-
7.009,775,1995
6.569,875,2017
6.855,875,2017
6.404,900,1997
6.683,900,2017
6.318,1000,1978
6.898,1000,2017
6.914,1000,2017
6.413,1050,1977
6.37,1100,1997
6.371,1100,2005
6.408,1100,1989
6.895,1100,2017
6.34,1150,1959
6.347,1200,2017
6.361,1200,2017
6.107,1250,1987
5.966,1300,2003
5.88,1350,1989
7.109,1500,2017
5.535,1600,1982
7.044,1800,1987
5.445,2000,2006
6.417,2000,1998
6.508,2000,1980
6.41,2050,2001
7.099,2100,1974
6.044,3000,1995
6.123,3000,1998
6.177,3000,1980
5.017,4000,1982
5.708,4000,-
6.004,4000,1978
6.308,4000,1973
6.302,5000,1996
5.721,6000,2003
6.003,6000,1973
6.064,6000,1989
5.256,8000,1989
5.793,10000,1962
6.143,16000,1971
4.861,20000,1974
4.829,24000,1985
6.257,40000,1976
